run	embeddings	accuracy	precision	recall	f1_score
10	sent_emb_glove_full_mms_dot_product_hstack_pca	0.802511	0.860340	0.871094	0.865683
1	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.832192	0.860908	0.918750	0.888889
2	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.830479	0.883087	0.885156	0.884120
3	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.829338	0.874142	0.895312	0.884601
4	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.826484	0.845609	0.932813	0.887073
5	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.827055	0.868124	0.900000	0.883774
6	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.831050	0.871601	0.901563	0.886329
7	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.835046	0.870052	0.910156	0.889653
8	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.826484	0.853111	0.921094	0.885800
9	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.835616	0.858900	0.927344	0.891811
10	sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.825342	0.872324	0.891406	0.881762
1	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.805936	0.894958	0.832031	0.862348
2	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.818493	0.860030	0.897656	0.878440
3	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.817922	0.853049	0.907031	0.879212
4	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.811073	0.855431	0.892188	0.873423
5	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.820776	0.851528	0.914062	0.881688
6	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.818493	0.841619	0.925781	0.881696
7	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.813356	0.855332	0.896094	0.875238
8	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.809361	0.873618	0.864062	0.868814
9	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.805936	0.868339	0.865625	0.866980
10	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.813927	0.851252	0.903125	0.876422
1	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.829338	0.862528	0.911719	0.886441
2	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.836187	0.869695	0.912500	0.890583
3	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.828196	0.895077	0.866406	0.880508
4	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.828767	0.874046	0.894531	0.884170
5	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.826484	0.883648	0.878125	0.880878
6	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.835616	0.880952	0.896094	0.888459
7	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.829338	0.873572	0.896094	0.884690
8	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.820205	0.876659	0.877344	0.877001
9	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.832192	0.869012	0.907031	0.887615
10	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.818493	0.889789	0.857812	0.873508
1	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.808790	0.858770	0.883594	0.871005
2	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.813927	0.859187	0.891406	0.875000
3	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.805936	0.883987	0.845313	0.864217
4	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.801941	0.878960	0.845313	0.861808
5	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.807078	0.864551	0.872656	0.868585
6	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.812215	0.863810	0.882031	0.872826
